"Title","ClockTime","SourceStartSeconds","TotalDurationSeconds","SpokenDurationSeconds","LeadSeconds","DurationMode","Tags"
"Geiger Counter In The Gap","10:57:16 PM","303.882","16.242","15.242","1","silence","PERSONA;MECHANISM"
"Calibration Weight Does Nothing","11:04:24 PM","732.004","14.067","13.067","1","silence","BANGER;MECHANISM"
"Fuse And Eraser","11:21:35 PM","1763.078","13.626","12.626","1","silence","BANGER;MECHANISM"
"SOFAR Nudge Not Trap","11:22:10 PM","1798.155","16.052","15.052","1","silence","CLIMB;MECHANISM"
"Geiger Silence","11:26:29 PM","2057.23","13.483","12.483","1","silence","MECHANISM;BANGER"
"Camera Obscura Permission","11:40:09 PM","2877.303","18.066","17.066","1","silence","CLIMB;MECHANISM"
"Wax Tablet Deformed Twice","11:54:40 PM","3748.377","19.338","18.338","1","silence","CLIMB;MECHANISM"
"Tally Stick Dependency","1:52:07 AM","10795.45","19.212","18.212","1","silence","CLIMB;BANGER"
